depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
40.00	35.0_45.0	12	Åland Sea								5.75	0.83	32.00	7.58	3.73			6.20	0.34	30.00	6.91	5.38										5.62	0.79	29.00	7.77	3.63			6.21	0.36	30.00	6.91	5.38			7.77	0.41	34.00	8.73	6.82	8.49	7.10	0.50	0.14	34.00	0.88	0.25	0.68	0.28	0.06	0.04	34.00	0.26	0.02	0.10	0.02	3.04	0.54	34.00	4.24	2.00	3.80	2.10	3.09	0.54	34.00	4.32	2.05	3.89	2.25	0.16	0.06	32.00	0.29	0.05			14.85	2.87	34.00	21.50	9.70	20.29	10.77																																											19.77	1.75	34.00	23.60	15.30	23.04	17.36	0.73	0.18	34.00	1.28	0.41	0.96	0.46	7.77	0.41	34.00	8.73	6.82	8.49	7.10	91.71	3.75	34.00	99.47	79.91	96.93	84.31	3.22	0.57	32.00	4.54	2.17			6.20	0.35	34.00	6.91	5.38	6.70	5.61	5.75	0.82	34.00	7.58	3.73	7.30	4.63
50.00	45.0_55.0	10	Åland Sea								6.02	1.34	16.00	9.01	3.57	7.81	4.33	6.79	0.45	16.00	8.06	6.03	7.41	6.22	6.25	0.58	16.00	7.25	4.77	6.93	5.38																																																																																																																								6.34	0.65	16.00	7.25	4.66	7.00	5.37	75.74	8.55	16.00	86.84	52.80	84.40	62.85								6.79	0.45	16.00	8.06	6.03	7.41	6.22	6.02	1.34	16.00	9.01	3.57	7.81	4.33
50.00	45.0_55.0	12	Åland Sea								5.93	0.91	32.00	8.39	4.21			6.34	0.34	30.00	7.18	5.45										5.84	0.92	29.00	8.41	4.23			6.33	0.34	29.00	7.20	5.47			7.61	0.46	31.00	8.49	6.37			0.55	0.16	32.00	1.11	0.27			0.06	0.04	33.00	0.26	0.02			3.14	0.55	33.00	4.21	1.86			3.19	0.54	33.00	4.29	2.12			0.16	0.08	30.00	0.40	0.05			15.07	2.93	33.00	22.30	10.70																																													20.13	2.15	33.00	25.80	15.60			0.78	0.19	33.00	1.41	0.46			7.61	0.46	31.00	8.49	6.37			90.15	4.52	31.00	98.75	74.08			3.29	0.58	30.00	4.51	2.24			6.32	0.34	33.00	7.18	5.45			5.92	0.89	34.00	8.39	4.21	7.58	4.61
60.00	55.0_65.0	12	Åland Sea								6.03	0.78	18.00	7.71	4.62			6.37	0.23	17.00	6.67	5.91										6.01	0.91	26.00	8.43	4.58			6.42	0.24	26.00	6.80	5.92			7.42	0.46	29.00	8.56	6.71			0.58	0.12	28.00	0.80	0.32			0.05	0.03	28.00	0.14	0.02			3.21	0.46	27.00	4.19	2.46			3.24	0.47	28.00	4.21	2.46			0.17	0.09	25.00	0.42	0.05			15.07	2.76	28.00	20.30	10.30																																													20.20	1.56	27.00	22.70	15.90			0.82	0.16	27.00	1.11	0.54			7.39	0.49	30.00	8.56	6.41			87.80	4.85	28.00	99.25	77.88			3.34	0.54	25.00	4.41	2.53			6.41	0.24	29.00	6.80	5.91			6.11	0.94	28.00	8.43	4.62		
70.00	65.0_75.0	12	Åland Sea								6.27	0.77	16.00	8.39	5.04																	6.04	0.52	16.00	6.90	4.99			6.51	0.22	16.00	6.81	6.14			7.10	0.33	17.00	7.66	6.64			0.61	0.14	18.00	0.92	0.39	0.78	0.41	0.04	0.02	18.00	0.11	0.02	0.07	0.03	3.32	0.47	18.00	3.83	2.53	3.82	2.56	3.37	0.47	18.00	3.88	2.57	3.87	2.60	0.18	0.09	17.00	0.38	0.05			15.06	2.28	18.00	19.10	11.00	18.84	11.60																																											20.04	1.92	17.00	24.50	15.80			0.83	0.15	18.00	1.08	0.55	1.06	0.61	7.10	0.33	17.00	7.66	6.64			84.94	3.95	17.00	90.67	77.35			3.46	0.50	17.00	4.15	2.57			6.49	0.20	18.00	6.78	6.14	6.74	6.19	6.24	0.73	18.00	8.39	5.04	7.10	5.23
80.00	75.0_85.0	12	Åland Sea								6.17	0.80	16.00	8.37	4.84																	5.91	0.62	16.00	6.84	4.78			6.56	0.22	16.00	6.91	6.21			7.02	0.32	18.00	7.55	6.50	7.50	6.60	0.64	0.15	18.00	1.00	0.42	0.84	0.44	0.04	0.01	18.00	0.06	0.02	0.06	0.02	3.39	0.45	17.00	3.98	2.55			3.39	0.47	18.00	4.01	2.58	3.96	2.69	0.18	0.09	17.00	0.42	0.05			15.35	2.33	18.00	19.50	11.40	19.16	11.99																																											19.99	1.75	18.00	25.00	16.20	22.11	17.73	0.86	0.16	18.00	1.13	0.58	1.10	0.65	7.02	0.32	18.00	7.55	6.50	7.50	6.60	83.83	3.98	18.00	89.85	75.41	89.40	78.55	3.48	0.47	17.00	4.13	2.64			6.56	0.20	18.00	6.91	6.23	6.82	6.26	6.15	0.76	18.00	8.37	4.84	7.04	5.16
90.00	85.0_95.0	12	Åland Sea								6.12	0.82	16.00	8.35	4.63																	5.89	0.58	16.00	6.72	4.55			6.63	0.21	16.00	7.00	6.34			6.89	0.37	17.00	7.40	6.29			0.68	0.16	18.00	1.08	0.45	0.89	0.48	0.04	0.01	18.00	0.07	0.02	0.06	0.02	3.47	0.51	17.00	4.22	2.56			3.48	0.51	18.00	4.26	2.59	4.13	2.75	0.17	0.07	17.00	0.30	0.05			15.69	2.53	18.00	20.00	11.50	19.75	12.52																																											19.88	2.76	18.00	25.90	12.60	24.37	16.00	0.90	0.17	18.00	1.18	0.61	1.14	0.71	6.89	0.37	17.00	7.40	6.29			82.28	4.42	17.00	88.67	72.75			3.53	0.50	17.00	4.32	2.59			6.64	0.20	18.00	6.98	6.34	6.89	6.35	6.08	0.79	18.00	8.35	4.63	6.97	5.11
100.00	95.0_112.5	12	Åland Sea																																											6.78	0.37	17.00	7.38	6.12	7.29	6.22	0.70	0.17	17.00	1.12	0.46	0.98	0.50	0.04	0.02	17.00	0.10	0.02	0.08	0.02	3.52	0.52	16.00	4.32	2.58			3.53	0.52	17.00	4.37	2.61	4.35	2.83	0.22	0.18	16.00	0.81	0.05			16.02	2.57	17.00	20.60	11.90	19.80	12.78																																											20.40	1.40	17.00	23.00	17.70	23.00	18.58	0.93	0.16	17.00	1.22	0.67	1.17	0.73	6.78	0.37	17.00	7.38	6.12	7.29	6.22	80.72	4.43	17.00	88.18	72.02	88.17	75.78	3.66	0.53	16.00	4.55	2.68			6.69	0.20	17.00	7.01	6.38	6.93	6.42	5.99	0.80	17.00	8.14	4.53	7.04	4.95
125.00	112.5_137.5	12	Åland Sea																																											6.55	0.42	17.00	7.26	5.93	7.22	5.95	0.77	0.20	17.00	1.22	0.52	1.10	0.52	0.04	0.02	17.00	0.07	0.02	0.06	0.02	3.64	0.62	16.00	4.59	2.61			3.65	0.62	17.00	4.65	2.64	4.62	2.74								17.07	2.72	17.00	21.80	12.50	21.08	13.38																																											20.45	2.12	17.00	26.80	16.40	23.44	18.40	1.00	0.20	17.00	1.35	0.70	1.29	0.76	6.55	0.42	17.00	7.26	5.93	7.22	5.95	77.37	5.16	17.00	87.52	69.10	85.90	70.02								6.83	0.21	17.00	7.13	6.50	7.12	6.54	5.58	0.86	17.00	7.77	4.21	6.99	4.54
150.00	137.5_162.5	12	Åland Sea																																											6.35	0.48	17.00	7.24	5.48	6.98	5.54	0.87	0.21	17.00	1.32	0.53	1.22	0.60	0.04	0.02	17.00	0.09	0.02	0.07	0.02								3.82	0.51	17.00	4.75	3.01	4.66	3.18	0.17	0.09	16.00	0.37	0.05			18.40	2.98	17.00	24.10	13.00	22.82	14.36																																											20.48	2.04	17.00	25.00	15.70	23.32	18.26	1.09	0.23	17.00	1.64	0.79	1.41	0.84	6.35	0.48	17.00	7.24	5.48	6.98	5.54	74.34	5.47	17.00	84.17	63.26	81.35	64.60	3.89	0.53	16.00	4.97	3.01			6.93	0.23	17.00	7.33	6.59	7.31	6.61	5.20	0.85	17.00	7.51	4.10	6.69	4.10
